#At time x process y state arr w total z remain y wait k
At time 4 process 1 started arr 3 total 20 remain 19 wait 0
At time 7 process 1 stopped arr 3 total 20 remain 16 wait 0
At time 7 process 2 started arr 4 total 6 remain 6 wait 3
At time 11 process 2 stopped arr 4 total 6 remain 2 wait 3
At time 11 process 3 started arr 4 total 21 remain 21 wait 7
At time 15 process 3 stopped arr 4 total 21 remain 17 wait 7
At time 15 process 1 resumed arr 3 total 20 remain 16 wait 8
At time 19 process 1 stopped arr 3 total 20 remain 12 wait 8
At time 19 process 2 resumed arr 4 total 6 remain 2 wait 11
At time 21 process 2 finished arr 4 total 6 remain 0 wait 11 TA 17 WTA 2
At time 22 process 3 resumed arr 4 total 21 remain 16 wait 13
